Codebook Index Counts:
----------------------
Index 0: 656
Index 1: 485
Index 2: 493
Index 3: 595
Index 4: 696
Index 5: 611
Index 6: 533
Index 7: 509
Index 8: 633
Index 9: 443
Index 10: 542
Index 11: 600
Index 12: 454
Index 13: 464
Index 14: 487
Index 15: 605
Index 16: 557
Index 17: 614
Index 18: 514
Index 19: 484
Index 20: 468
Index 21: 453
Index 22: 428
Index 23: 534
Index 24: 445
Index 25: 597
Index 26: 564
Index 27: 539
Index 28: 689
Index 29: 505
Index 30: 495
Index 31: 483
Index 32: 537
Index 33: 470
Index 34: 528
Index 35: 428
Index 36: 477
Index 37: 619
Index 38: 498
Index 39: 482
Index 40: 562
Index 41: 506
Index 42: 495
Index 43: 591
Index 44: 554
Index 45: 555
Index 46: 588
Index 47: 564
Index 48: 661
Index 49: 569
Index 50: 511
Index 51: 589
Index 52: 433
Index 53: 554
Index 54: 444
Index 55: 683
Index 56: 502
Index 57: 550
Index 58: 421
Index 59: 497
Index 60: 497
Index 61: 425
Index 62: 582
Index 63: 452
Index 64: 434
Index 65: 503
Index 66: 573
Index 67: 511
Index 68: 397
Index 69: 493
Index 70: 587
Index 71: 529
Index 72: 533
Index 73: 540
Index 74: 518
Index 75: 516
Index 76: 550
Index 77: 515
Index 78: 458
Index 79: 541
Index 80: 522
Index 81: 585
Index 82: 552
Index 83: 451
Index 84: 780
Index 85: 482
Index 86: 537
Index 87: 447
Index 88: 504
Index 89: 639
Index 90: 489
Index 91: 558
Index 92: 521
Index 93: 561
Index 94: 546
Index 95: 644
Index 96: 698
Index 97: 599
Index 98: 622
Index 99: 465
Index 100: 534
Index 101: 549
Index 102: 511
Index 103: 672
Index 104: 641
Index 105: 430
Index 106: 643
Index 107: 774
Index 108: 547
Index 109: 574
Index 110: 804
Index 111: 534
Index 112: 619
Index 113: 478
Index 114: 1683
Index 115: 531
Index 116: 446
Index 117: 564
Index 118: 482
Index 119: 656
Index 120: 656
Index 121: 383
Index 122: 506
Index 123: 534
Index 124: 508
Index 125: 467
Index 126: 559
Index 127: 745
Index 128: 450
Index 129: 568
Index 130: 635
Index 131: 531
Index 132: 547
