Codebook Index Counts:
----------------------
Index 0: 137
Index 1: 97
Index 2: 101
Index 3: 126
Index 4: 166
Index 5: 153
Index 6: 125
Index 7: 95
Index 8: 147
Index 9: 106
Index 10: 115
Index 11: 139
Index 12: 102
Index 13: 102
Index 14: 106
Index 15: 119
Index 16: 108
Index 17: 122
Index 18: 110
Index 19: 115
Index 20: 121
Index 21: 95
Index 22: 115
Index 23: 131
Index 24: 103
Index 25: 155
Index 26: 126
Index 27: 148
Index 28: 158
Index 29: 134
Index 30: 126
Index 31: 123
Index 32: 123
Index 33: 111
Index 34: 123
Index 35: 110
Index 36: 97
Index 37: 125
Index 38: 134
Index 39: 121
Index 40: 150
Index 41: 109
Index 42: 117
Index 43: 135
Index 44: 118
Index 45: 108
Index 46: 129
Index 47: 136
Index 48: 162
Index 49: 148
Index 50: 132
Index 51: 141
Index 52: 105
Index 53: 121
Index 54: 101
Index 55: 156
Index 56: 110
Index 57: 112
Index 58: 99
Index 59: 101
Index 60: 107
Index 61: 93
Index 62: 108
Index 63: 97
Index 64: 96
Index 65: 126
Index 66: 126
Index 67: 121
Index 68: 117
Index 69: 111
Index 70: 135
Index 71: 129
Index 72: 133
Index 73: 136
Index 74: 106
Index 75: 116
Index 76: 143
Index 77: 120
Index 78: 106
Index 79: 127
Index 80: 101
Index 81: 125
Index 82: 122
Index 83: 101
Index 84: 149
Index 85: 109
Index 86: 125
Index 87: 128
Index 88: 121
Index 89: 136
Index 90: 127
Index 91: 130
Index 92: 124
Index 93: 133
Index 94: 122
Index 95: 152
Index 96: 160
Index 97: 150
Index 98: 143
Index 99: 131
Index 100: 130
Index 101: 110
Index 102: 113
Index 103: 148
Index 104: 157
Index 105: 107
Index 106: 154
Index 107: 201
Index 108: 119
Index 109: 143
Index 110: 194
Index 111: 127
Index 112: 123
Index 113: 105
Index 114: 306
Index 115: 124
Index 116: 107
Index 117: 144
Index 118: 106
Index 119: 152
Index 120: 147
Index 121: 72
Index 122: 117
Index 123: 121
Index 124: 119
Index 125: 117
Index 126: 143
Index 127: 154
Index 128: 104
Index 129: 121
Index 130: 158
Index 131: 112
Index 132: 137
Index 133: 154
Index 134: 129
Index 135: 118
Index 136: 142
Index 137: 146
Index 138: 127
Index 139: 129
Index 140: 117
Index 141: 129
Index 142: 97
Index 143: 101
Index 144: 118
Index 145: 108
Index 146: 82
Index 147: 137
Index 148: 139
Index 149: 122
Index 150: 100
Index 151: 131
Index 152: 121
Index 153: 119
Index 154: 152
Index 155: 131
Index 156: 120
Index 157: 134
Index 158: 149
Index 159: 100
Index 160: 138
Index 161: 139
Index 162: 90
Index 163: 126
Index 164: 113
Index 165: 142
Index 166: 156
Index 167: 104
Index 168: 149
Index 169: 95
Index 170: 124
Index 171: 105
Index 172: 126
Index 173: 127
Index 174: 100
Index 175: 144
Index 176: 147
Index 177: 107
Index 178: 113
Index 179: 105
Index 180: 117
Index 181: 135
Index 182: 138
Index 183: 131
Index 184: 125
Index 185: 116
Index 186: 104
Index 187: 113
Index 188: 135
Index 189: 124
Index 190: 125
Index 191: 95
Index 192: 134
Index 193: 141
Index 194: 121
Index 195: 117
Index 196: 115
Index 197: 123
Index 198: 118
Index 199: 168
Index 200: 128
Index 201: 116
Index 202: 112
Index 203: 107
Index 204: 101
Index 205: 146
Index 206: 112
Index 207: 161
Index 208: 131
Index 209: 119
Index 210: 158
Index 211: 129
Index 212: 140
Index 213: 103
Index 214: 137
Index 215: 123
Index 216: 129
Index 217: 138
Index 218: 336
Index 219: 109
Index 220: 140
Index 221: 117
Index 222: 107
Index 223: 118
Index 224: 129
Index 225: 151
Index 226: 122
Index 227: 96
Index 228: 88
Index 229: 125
Index 230: 99
Index 231: 125
Index 232: 95
Index 233: 175
Index 234: 124
Index 235: 107
Index 236: 111
Index 237: 168
Index 238: 106
Index 239: 130
Index 240: 121
Index 241: 105
Index 242: 151
Index 243: 115
Index 244: 140
Index 245: 124
Index 246: 93
Index 247: 140
Index 248: 104
Index 249: 136
Index 250: 121
Index 251: 85
Index 252: 122
Index 253: 115
Index 254: 129
Index 255: 140
Index 256: 146
Index 257: 119
Index 258: 136
Index 259: 122
Index 260: 138
Index 261: 136
Index 262: 147
Index 263: 137
Index 264: 153
Index 265: 120
Index 266: 111
Index 267: 136
Index 268: 117
Index 269: 125
Index 270: 116
Index 271: 118
Index 272: 103
Index 273: 123
Index 274: 110
Index 275: 138
Index 276: 99
Index 277: 89
Index 278: 123
Index 279: 126
Index 280: 95
Index 281: 158
Index 282: 94
Index 283: 109
Index 284: 94
Index 285: 127
Index 286: 185
Index 287: 181
Index 288: 112
Index 289: 139
Index 290: 125
Index 291: 134
Index 292: 125
Index 293: 107
Index 294: 144
Index 295: 191
Index 296: 123
Index 297: 87
Index 298: 192
Index 299: 112
Index 300: 122
Index 301: 128
Index 302: 111
Index 303: 145
Index 304: 126
Index 305: 124
Index 306: 132
Index 307: 1548
Index 308: 94
Index 309: 145
Index 310: 97
Index 311: 103
Index 312: 148
Index 313: 144
Index 314: 120
Index 315: 113
Index 316: 151
Index 317: 113
Index 318: 114
Index 319: 125
