Codebook Index Counts:
----------------------
Index 0: 123
Index 1: 127
Index 2: 116
Index 3: 134
Index 4: 197
Index 5: 113
Index 6: 116
Index 7: 120
Index 8: 127
Index 9: 111
Index 10: 104
Index 11: 134
Index 12: 111
Index 13: 145
Index 14: 132
Index 15: 129
Index 16: 104
Index 17: 150
Index 18: 115
Index 19: 100
Index 20: 98
Index 21: 96
Index 22: 76
Index 23: 110
Index 24: 110
Index 25: 106
Index 26: 122
Index 27: 105
Index 28: 182
Index 29: 111
Index 30: 113
Index 31: 91
Index 32: 131
Index 33: 165
Index 34: 126
Index 35: 102
Index 36: 104
Index 37: 170
Index 38: 119
Index 39: 158
Index 40: 128
Index 41: 125
Index 42: 125
Index 43: 110
Index 44: 117
Index 45: 159
Index 46: 112
Index 47: 93
Index 48: 114
Index 49: 125
Index 50: 97
Index 51: 101
Index 52: 106
Index 53: 100
Index 54: 128
Index 55: 139
Index 56: 110
Index 57: 105
Index 58: 96
Index 59: 97
Index 60: 94
Index 61: 96
Index 62: 241
Index 63: 146
Index 64: 88
Index 65: 114
Index 66: 156
Index 67: 97
Index 68: 77
Index 69: 106
Index 70: 136
Index 71: 125
Index 72: 121
Index 73: 120
Index 74: 112
Index 75: 94
Index 76: 108
Index 77: 138
Index 78: 100
Index 79: 86
Index 80: 100
Index 81: 120
Index 82: 173
Index 83: 82
Index 84: 259
Index 85: 92
Index 86: 134
Index 87: 99
Index 88: 109
Index 89: 146
Index 90: 109
Index 91: 143
Index 92: 125
Index 93: 113
Index 94: 107
Index 95: 107
Index 96: 196
Index 97: 137
Index 98: 121
Index 99: 125
Index 100: 77
Index 101: 119
Index 102: 116
Index 103: 152
Index 104: 155
Index 105: 128
Index 106: 156
Index 107: 175
Index 108: 124
Index 109: 132
Index 110: 133
Index 111: 104
Index 112: 148
Index 113: 146
Index 114: 859
Index 115: 83
Index 116: 111
Index 117: 132
Index 118: 68
Index 119: 152
Index 120: 138
Index 121: 88
Index 122: 92
Index 123: 155
Index 124: 94
Index 125: 109
Index 126: 103
Index 127: 125
Index 128: 98
Index 129: 130
Index 130: 178
Index 131: 170
Index 132: 144
Index 133: 124
Index 134: 120
Index 135: 120
Index 136: 185
Index 137: 129
Index 138: 108
Index 139: 123
Index 140: 169
Index 141: 107
Index 142: 98
Index 143: 85
Index 144: 146
Index 145: 97
Index 146: 106
Index 147: 118
Index 148: 107
Index 149: 109
Index 150: 112
Index 151: 119
Index 152: 119
Index 153: 88
Index 154: 131
Index 155: 131
Index 156: 110
Index 157: 101
Index 158: 103
Index 159: 110
Index 160: 177
Index 161: 91
Index 162: 113
Index 163: 119
Index 164: 102
Index 165: 165
Index 166: 135
Index 167: 97
Index 168: 198
Index 169: 118
Index 170: 114
Index 171: 111
Index 172: 118
Index 173: 119
Index 174: 92
Index 175: 101
Index 176: 94
Index 177: 86
Index 178: 100
Index 179: 111
Index 180: 107
Index 181: 106
Index 182: 100
Index 183: 145
Index 184: 135
Index 185: 124
Index 186: 135
Index 187: 117
Index 188: 120
Index 189: 121
Index 190: 108
Index 191: 92
Index 192: 85
Index 193: 143
Index 194: 114
Index 195: 101
Index 196: 131
Index 197: 110
Index 198: 143
Index 199: 222
Index 200: 112
Index 201: 136
Index 202: 103
Index 203: 104
Index 204: 103
Index 205: 128
Index 206: 116
Index 207: 134
Index 208: 119
Index 209: 98
Index 210: 120
Index 211: 206
Index 212: 127
Index 213: 90
Index 214: 121
Index 215: 135
Index 216: 90
Index 217: 147
Index 218: 501
Index 219: 121
Index 220: 125
Index 221: 120
Index 222: 107
Index 223: 101
Index 224: 150
Index 225: 144
Index 226: 120
Index 227: 130
Index 228: 85
Index 229: 139
Index 230: 78
Index 231: 141
Index 232: 93
Index 233: 125
Index 234: 134
Index 235: 111
Index 236: 83
Index 237: 123
Index 238: 129
Index 239: 100
Index 240: 110
Index 241: 111
Index 242: 207
Index 243: 93
Index 244: 647
Index 245: 123
Index 246: 129
Index 247: 106
Index 248: 91
Index 249: 122
Index 250: 146
Index 251: 89
Index 252: 106
Index 253: 92
Index 254: 140
Index 255: 124
Index 256: 102
Index 257: 99
Index 258: 148
Index 259: 95
Index 260: 118
Index 261: 118
Index 262: 156
Index 263: 120
Index 264: 102
Index 265: 127
Index 266: 131
Index 267: 167
Index 268: 96
Index 269: 148
Index 270: 121
Index 271: 109
Index 272: 112
Index 273: 180
Index 274: 122
Index 275: 111
Index 276: 122
Index 277: 120
Index 278: 87
Index 279: 107
Index 280: 105
Index 281: 125
Index 282: 121
Index 283: 92
Index 284: 116
Index 285: 94
Index 286: 152
Index 287: 161
Index 288: 142
Index 289: 104
Index 290: 121
Index 291: 128
Index 292: 114
Index 293: 114
Index 294: 124
Index 295: 209
Index 296: 102
Index 297: 90
Index 298: 263
Index 299: 88
Index 300: 107
Index 301: 116
Index 302: 90
Index 303: 161
Index 304: 127
Index 305: 98
Index 306: 163
Index 307: 3083
Index 308: 77
Index 309: 159
Index 310: 90
Index 311: 103
Index 312: 98
Index 313: 118
Index 314: 110
Index 315: 81
Index 316: 154
Index 317: 84
Index 318: 122
Index 319: 104
Index 320: 198
Index 321: 95
Index 322: 83
Index 323: 103
Index 324: 159
Index 325: 150
Index 326: 112
Index 327: 136
Index 328: 108
Index 329: 108
Index 330: 102
Index 331: 117
Index 332: 182
Index 333: 83
Index 334: 203
Index 335: 187
Index 336: 159
Index 337: 104
Index 338: 95
Index 339: 112
Index 340: 112
Index 341: 132
Index 342: 93
Index 343: 117
Index 344: 148
Index 345: 125
Index 346: 113
Index 347: 163
Index 348: 101
Index 349: 237
Index 350: 107
Index 351: 209
Index 352: 130
Index 353: 107
Index 354: 114
Index 355: 126
Index 356: 261
Index 357: 123
Index 358: 128
Index 359: 112
Index 360: 123
Index 361: 132
Index 362: 119
Index 363: 375
Index 364: 121
Index 365: 140
Index 366: 100
Index 367: 156
Index 368: 89
Index 369: 152
Index 370: 94
Index 371: 156
Index 372: 219
Index 373: 122
Index 374: 117
Index 375: 124
Index 376: 187
Index 377: 119
Index 378: 118
Index 379: 117
Index 380: 104
Index 381: 127
Index 382: 91
Index 383: 137
Index 384: 86
Index 385: 115
Index 386: 134
Index 387: 116
Index 388: 120
Index 389: 139
Index 390: 115
Index 391: 123
Index 392: 137
Index 393: 102
Index 394: 134
Index 395: 139
Index 396: 111
Index 397: 112
Index 398: 96
Index 399: 89
Index 400: 146
Index 401: 122
Index 402: 104
Index 403: 119
Index 404: 142
Index 405: 116
Index 406: 135
Index 407: 133
Index 408: 109
Index 409: 113
Index 410: 98
Index 411: 95
Index 412: 145
Index 413: 100
Index 414: 83
Index 415: 145
Index 416: 176
Index 417: 111
Index 418: 138
Index 419: 110
Index 420: 129
Index 421: 103
Index 422: 122
Index 423: 128
Index 424: 129
Index 425: 79
