Codebook Index Counts:
----------------------
Index 0: 286
Index 1: 164
Index 2: 159
Index 3: 180
Index 4: 124
Index 5: 153
Index 6: 197
Index 7: 178
Index 8: 190
Index 9: 202
Index 10: 124
Index 11: 100
Index 12: 137
Index 13: 152
Index 14: 173
Index 15: 378
Index 16: 113
Index 17: 231
Index 18: 261
Index 19: 135
Index 20: 147
Index 21: 199
Index 22: 163
Index 23: 239
Index 24: 174
Index 25: 327
Index 26: 122
Index 27: 223
Index 28: 197
Index 29: 162
Index 30: 158
Index 31: 141
Index 32: 193
Index 33: 198
Index 34: 141
Index 35: 133
Index 36: 216
Index 37: 225
Index 38: 113
Index 39: 94
Index 40: 232
Index 41: 196
Index 42: 126
Index 43: 217
Index 44: 304
Index 45: 181
Index 46: 144
Index 47: 146
Index 48: 349
Index 49: 138
Index 50: 127
Index 51: 216
Index 52: 136
Index 53: 180
Index 54: 110
Index 55: 405
Index 56: 157
Index 57: 132
Index 58: 145
Index 59: 142
Index 60: 117
Index 61: 204
Index 62: 438
Index 63: 179
Index 64: 151
Index 65: 110
Index 66: 117
Index 67: 231
Index 68: 214
Index 69: 87
Index 70: 180
Index 71: 107
Index 72: 178
Index 73: 195
Index 74: 120
Index 75: 154
Index 76: 115
Index 77: 136
Index 78: 155
Index 79: 219
Index 80: 153
Index 81: 193
Index 82: 183
Index 83: 91
Index 84: 344
Index 85: 179
Index 86: 293
Index 87: 143
Index 88: 180
Index 89: 212
Index 90: 145
Index 91: 193
Index 92: 290
Index 93: 203
Index 94: 152
Index 95: 211
Index 96: 114
Index 97: 122
Index 98: 177
Index 99: 171
Index 100: 301
Index 101: 195
Index 102: 202
Index 103: 215
Index 104: 187
Index 105: 107
Index 106: 220
Index 107: 227
Index 108: 159
Index 109: 176
Index 110: 420
Index 111: 175
Index 112: 144
Index 113: 102
Index 114: 1088
Index 115: 168
Index 116: 105
Index 117: 202
Index 118: 110
Index 119: 173
Index 120: 253
Index 121: 89
Index 122: 173
Index 123: 195
Index 124: 205
Index 125: 133
Index 126: 240
Index 127: 357
Index 128: 138
Index 129: 174
Index 130: 142
Index 131: 162
Index 132: 202
Index 133: 157
Index 134: 124
Index 135: 124
Index 136: 755
Index 137: 253
Index 138: 104
Index 139: 149
Index 140: 100
Index 141: 201
Index 142: 132
Index 143: 237
Index 144: 141
Index 145: 180
Index 146: 130
Index 147: 195
Index 148: 202
Index 149: 203
Index 150: 129
Index 151: 159
Index 152: 124
Index 153: 162
Index 154: 261
Index 155: 121
Index 156: 207
Index 157: 161
Index 158: 199
Index 159: 129
Index 160: 151
Index 161: 193
Index 162: 108
Index 163: 131
Index 164: 159
Index 165: 130
Index 166: 203
Index 167: 181
Index 168: 140
Index 169: 105
Index 170: 114
Index 171: 127
Index 172: 196
Index 173: 208
Index 174: 188
Index 175: 134
Index 176: 145
Index 177: 162
Index 178: 161
Index 179: 120
Index 180: 116
Index 181: 123
Index 182: 119
Index 183: 110
Index 184: 224
Index 185: 230
Index 186: 245
Index 187: 172
Index 188: 167
Index 189: 154
Index 190: 151
Index 191: 125
Index 192: 159
Index 193: 314
Index 194: 178
Index 195: 157
Index 196: 171
Index 197: 169
Index 198: 249
Index 199: 984
Index 200: 114
Index 201: 150
Index 202: 166
Index 203: 129
Index 204: 184
Index 205: 152
Index 206: 116
Index 207: 164
Index 208: 127
Index 209: 122
Index 210: 140
Index 211: 603
Index 212: 145
Index 213: 199
Index 214: 159
Index 215: 155
Index 216: 122
Index 217: 102
Index 218: 1491
Index 219: 111
Index 220: 193
Index 221: 91
Index 222: 191
Index 223: 181
Index 224: 310
Index 225: 197
Index 226: 161
Index 227: 163
Index 228: 124
Index 229: 205
Index 230: 170
Index 231: 1051
Index 232: 130
Index 233: 276
Index 234: 134
Index 235: 259
Index 236: 348
Index 237: 313
Index 238: 165
Index 239: 119
Index 240: 110
Index 241: 124
Index 242: 403
Index 243: 327
Index 244: 588
Index 245: 148
Index 246: 83
Index 247: 158
Index 248: 303
Index 249: 147
Index 250: 122
Index 251: 171
Index 252: 169
Index 253: 145
Index 254: 142
Index 255: 886
Index 256: 106
Index 257: 191
Index 258: 128
Index 259: 297
Index 260: 174
Index 261: 158
Index 262: 147
Index 263: 316
Index 264: 159
Index 265: 237
Index 266: 110
Index 267: 258
Index 268: 193
Index 269: 134
Index 270: 154
Index 271: 184
Index 272: 338
Index 273: 105
Index 274: 238
Index 275: 172
Index 276: 136
Index 277: 398
Index 278: 115
Index 279: 194
Index 280: 130
Index 281: 297
Index 282: 149
Index 283: 142
Index 284: 115
Index 285: 248
Index 286: 266
Index 287: 361
Index 288: 130
Index 289: 220
Index 290: 205
Index 291: 194
Index 292: 361
Index 293: 110
Index 294: 221
Index 295: 199
Index 296: 263
Index 297: 150
Index 298: 147
Index 299: 105
Index 300: 89
Index 301: 187
