Codebook Index Counts:
----------------------
Index 0: 153
Index 1: 69
Index 2: 101
Index 3: 80
Index 4: 159
Index 5: 137
Index 6: 87
Index 7: 155
Index 8: 177
Index 9: 106
Index 10: 116
Index 11: 119
Index 12: 65
Index 13: 91
Index 14: 193
Index 15: 109
Index 16: 124
Index 17: 343
Index 18: 66
Index 19: 117
Index 20: 89
Index 21: 107
Index 22: 97
Index 23: 65
Index 24: 136
Index 25: 142
Index 26: 125
Index 27: 157
Index 28: 314
Index 29: 105
Index 30: 97
Index 31: 94
Index 32: 201
Index 33: 96
Index 34: 116
Index 35: 98
Index 36: 77
Index 37: 317
Index 38: 151
Index 39: 150
Index 40: 65
Index 41: 189
Index 42: 113
Index 43: 111
Index 44: 105
Index 45: 107
Index 46: 70
Index 47: 132
Index 48: 126
Index 49: 146
Index 50: 221
Index 51: 173
Index 52: 179
Index 53: 126
Index 54: 111
Index 55: 203
Index 56: 114
Index 57: 110
Index 58: 88
Index 59: 136
Index 60: 161
Index 61: 84
Index 62: 144
Index 63: 71
Index 64: 79
Index 65: 134
Index 66: 74
Index 67: 60
Index 68: 90
Index 69: 76
Index 70: 143
Index 71: 146
Index 72: 99
Index 73: 80
Index 74: 105
Index 75: 165
Index 76: 202
Index 77: 117
Index 78: 111
Index 79: 78
Index 80: 107
Index 81: 131
Index 82: 65
Index 83: 73
Index 84: 138
Index 85: 68
Index 86: 153
Index 87: 81
Index 88: 143
Index 89: 147
Index 90: 95
Index 91: 193
Index 92: 133
Index 93: 148
Index 94: 116
Index 95: 106
Index 96: 112
Index 97: 74
Index 98: 206
Index 99: 114
Index 100: 126
Index 101: 86
Index 102: 92
Index 103: 114
Index 104: 124
Index 105: 77
Index 106: 224
Index 107: 110
Index 108: 96
Index 109: 154
Index 110: 149
Index 111: 114
Index 112: 129
Index 113: 88
Index 114: 28
Index 115: 113
Index 116: 71
Index 117: 113
Index 118: 126
Index 119: 145
Index 120: 132
Index 121: 105
Index 122: 85
Index 123: 113
Index 124: 105
Index 125: 100
Index 126: 129
Index 127: 110
Index 128: 99
Index 129: 261
Index 130: 112
Index 131: 149
Index 132: 96
Index 133: 175
Index 134: 99
Index 135: 113
Index 136: 205
Index 137: 113
Index 138: 116
Index 139: 89
Index 140: 119
Index 141: 139
Index 142: 86
Index 143: 112
Index 144: 71
Index 145: 126
Index 146: 145
Index 147: 196
Index 148: 101
Index 149: 164
Index 150: 110
Index 151: 102
Index 152: 131
Index 153: 177
Index 154: 140
Index 155: 82
Index 156: 98
Index 157: 123
Index 158: 81
Index 159: 83
Index 160: 111
Index 161: 163
Index 162: 52
Index 163: 154
Index 164: 160
Index 165: 75
Index 166: 159
Index 167: 87
Index 168: 158
Index 169: 53
Index 170: 68
Index 171: 111
Index 172: 159
Index 173: 115
Index 174: 72
Index 175: 138
Index 176: 168
Index 177: 153
Index 178: 121
Index 179: 112
Index 180: 146
Index 181: 108
Index 182: 120
Index 183: 52
Index 184: 100
Index 185: 83
Index 186: 86
Index 187: 83
Index 188: 118
Index 189: 119
Index 190: 113
Index 191: 141
Index 192: 202
Index 193: 137
Index 194: 96
Index 195: 226
Index 196: 82
Index 197: 138
Index 198: 183
Index 199: 242
Index 200: 84
Index 201: 166
Index 202: 89
Index 203: 104
Index 204: 89
Index 205: 195
Index 206: 90
Index 207: 144
Index 208: 103
Index 209: 195
Index 210: 164
Index 211: 132
Index 212: 95
Index 213: 200
Index 214: 124
Index 215: 94
Index 216: 231
Index 217: 168
Index 218: 663
Index 219: 82
Index 220: 146
Index 221: 128
Index 222: 86
Index 223: 89
Index 224: 68
Index 225: 129
Index 226: 92
Index 227: 108
Index 228: 82
Index 229: 128
Index 230: 121
Index 231: 180
Index 232: 122
Index 233: 113
Index 234: 104
Index 235: 68
Index 236: 177
Index 237: 120
Index 238: 90
Index 239: 66
Index 240: 120
Index 241: 160
Index 242: 246
Index 243: 83
Index 244: 153
Index 245: 102
Index 246: 74
Index 247: 116
Index 248: 73
Index 249: 71
Index 250: 104
Index 251: 335
Index 252: 102
Index 253: 102
Index 254: 85
Index 255: 165
Index 256: 179
Index 257: 125
Index 258: 90
Index 259: 220
Index 260: 127
Index 261: 185
Index 262: 134
Index 263: 137
Index 264: 186
Index 265: 121
Index 266: 77
Index 267: 343
Index 268: 89
Index 269: 132
Index 270: 123
Index 271: 92
Index 272: 113
Index 273: 202
Index 274: 53
Index 275: 101
Index 276: 99
Index 277: 78
Index 278: 140
Index 279: 95
Index 280: 97
Index 281: 157
Index 282: 87
Index 283: 108
Index 284: 80
Index 285: 64
Index 286: 233
Index 287: 135
Index 288: 111
Index 289: 145
